id,name,time,other names,类型
A589,荒川爆笑团,['2010年4月4日'],['荒川桥下'],"['搞笑', '日常', '治愈', '恋爱']"
A590,×××HOLiC 仲夏夜之梦,none,['剧场版xxxHOLiC 仲夏夜之梦'],"['奇幻', '悬疑']"
A591,南方公园 第18季,['2014-09-24'],none,['搞笑']
A592,西蒙,['2006年4月3日'],['Simoun'],"['百合', '科幻', '战斗']"
A593,我的邻居山田君,none,['隔壁的山田家'],"['日常', '治愈', '搞笑']"
A594,银河英雄传说外传 千亿的星辰、千亿的光芒,none,"['A Hundred Billion Stars, A Hundred Billion Light']",['科幻']
A595,Flip Flappers,['2016年10月6日'],['轻拍翻转小魔女'],"['百合', '奇幻', '战斗', '冒险', '科幻', '萌']"
A596,南方公园 第12季,['2008-03-12'],none,['搞笑']
A597,福音战士新剧场版：Q,none,['EVA Q'],"['科幻', '机战', '战斗']"
A598,机动武斗传G高达,['1994年4月1日'],none,"['热血', '机战', '科幻']"
A599,空中秋千,['2009年10月15日'],['Kuuchuu Buranko'],['治愈']
A600,女高中生的无所事事,['2019年7月5日'],['女高中生的虚度日常'],"['搞笑', '日常', '校园', '百合', '治愈']"
A601,青之文学,['2009年10月10日'],['青之文学系列'],[]
A602,数码兽大冒险 滚球兽的诞生,none,['数码暴龙大冒险 滚球兽的诞生'],[]
A603,精神分裂症,none,['貌合神离'],['搞笑']
A604,高智能方程式：SAGA,none,['Cyber Formula SAGA'],"['热血', '科幻']"
A605,甜甜私房猫 第二季,['2009年3月30日'],['起司猫 第二季'],"['萌', '治愈', '搞笑']"
A606,悠哉日常大王 Repeat OAD,none,none,"['日常', '治愈', '百合', '搞笑', '萌']"
A607,小蝌蚪找妈妈,none,['Baby Tadpoles Look for Their Mother'],['欢乐']
A608,圣诞夜惊魂,none,['怪诞城之夜'],['奇幻']
A609,玩具总动员3,none,['玩具的故事3'],"['3D', '治愈', '搞笑', '奇幻', '冒险', '催泪']"
A610,乱马1/2,['1989年4月15日'],['らんま½'],"['搞笑', '恋爱']"
A611,机动警察 OVA,none,['机动警察 前期OVA'],"['科幻', '机战', '搞笑']"
A612,真实之泪,['2008年1月5日'],none,"['校园', '爱情', '恋爱', '青春', '治愈']"
A613,失落的宇宙,['1998年4月3日'],['宇宙刑警'],"['科幻', '搞笑']"
A614,风人物语,['2004年9月11日'],none,"['治愈', '校园']"
A615,魁！！库洛马迪高校,['2003年10月2日'],['Cromartie High School'],"['搞笑', '校园']"
A616,樱桃小丸子,['1990年1月7日'],['ちびまる子ちゃん (1990)'],"['搞笑', '日常', '治愈']"
A617,海洋之歌,none,['Le Chant de la Mer'],"['奇幻', '治愈']"
A618,悠哉日常大王 OAD,none,none,"['日常', '治愈', '百合', '搞笑', '萌']"
A619,南方公园 第1季,['1997-08-13'],none,['搞笑']
A620,机动战士Z高达 星之继承者,none,['機動戦士Ζガンダム A New Translation -星を継ぐ者-'],"['机战', '科幻', '热血']"
A621,原罪的卡辛,['2008年10月2日'],['改造人卡辛'],"['科幻', '奇幻']"
A622,南方公园剧场版,none,none,['搞笑']
A623,魔方大厦,['1990-09'],['ルービック・キューブ'],"['猎奇', '恐怖']"
A624,美妙旋律 Rainbow Live,['2013年4月6日'],['美妙旋律：彩虹演奏会'],['子供向']
A625,东方梦想夏乡,none,none,['百合']
A626,妄想学生会＊,['2014年1月4日'],['生徒会役員共＊'],"['搞笑', '校园', '后宫', '日常']"
A627,道子与哈金,['2008年10月15日'],['道子与小花'],"['百合', '搞笑']"
A628,科拉传奇 第一季：气和,['2012年4月14日'],['Book One: Air'],"['奇幻', '战斗', '科幻', '动作']"
A629,排球少年 TO THE TOP,['2020年1月10日'],['排球少年 第四季'],"['运动', '热血', '校园']"
A630,逮捕令 OVA,none,['逮捕しちゃうぞ You`re Under Arrest'],"['搞笑', '热血', '百合']"
A631,机动战士Z高达III 星星的鼓动就是爱,none,['機動戦士ΖガンダムIII A New Translation -星の鼓動は愛-'],"['机战', '科幻']"
A632,宇宙战舰大和号2199 第七章「战舰继续前进」,none,['宇宙戦艦ヤマト2199 最終章'],['科幻']
A633,高智能方程式：Cyber Formula 11,none,['Cyber Formula Double ONE'],"['热血', '科幻']"
A634,五星物语 剧场版,none,['五星物语'],"['科幻', '机战']"
A635,鲁邦三世 次元大介的墓标,none,none,[]
